Timestamp,Student ID,First Name,Last Name,FUHSD Email Address,Parent Guardian Name,Parent Guardian Email,Grade Level,Subjects I Need Help With:,Times
4/12/2024 10:00:00,193013,qe,ik,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"History, Biology, Algebra 2, Statistics","Monday 6th period, 2:15 - 3:00, Wednesday after school A, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Thursday 7th period A, 2:20 - 3:05, Wednesday 6th period B, 2:20 - 3:05, Tuesday after school, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,334872,df,zv,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Statistics, Chinese","Thursday 7th period B, 3:05 - 3:50, Wednesday 6th period B, 2:20 - 3:05, Wednesday after school B, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50, Tuesday after school, 3:50 - 4:30, Monday after school, 3:55 - 4:30"
4/12/2024 10:00:00,295453,ba,sm,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,Calculus,"Wednesday after school A, 3:05 - 3:50, Thursday 7th period B, 3:05 - 3:50, Tuesday after school, 3:50 - 4:30, Tuesday 7th period A, 2:20 - 3:05, Wednesday after school B, 3:50 - 4:30, Monday after school, 3:55 - 4:30"
4/12/2024 10:00:00,126999,lt,xo,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Econ, Algebra 2, CS, Statistics","Thursday 7th period A, 2:20 - 3:05"
4/12/2024 10:00:00,583048,wx,rz,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"Statistics, CS","Thursday 7th period B, 3:05 - 3:50, Wednesday 6th period B, 2:20 - 3:05, Monday 7th period, 3:05 - 3:50, Thursday after school, 3:50 - 4:30, Thursday 7th period A, 2:20 - 3:05, Wednesday after school A, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50, Tuesday after school, 3:50 - 4:30"
4/12/2024 10:00:00,389751,vg,qw,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Econ, Geometry, CS, Spanish","Wednesday after school B, 3:50 - 4:30, Monday after school, 3:55 - 4:30, Tuesday 7th period A, 2:20 - 3:05, Thursday 7th period A, 2:20 - 3:05, Wednesday 6th period A, 1:35 - 2:20, Wednesday after school A, 3:05 - 3:50, Monday 6th period, 2:15 - 3:00, Wednesday 6th period B, 2:20 - 3:05, Thursday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,344601,lo,gb,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"History, Japanese, Algebra 1, Econ","Thursday after school, 3:50 - 4:30, Thursday 7th period A, 2:20 - 3:05, Wednesday 6th period A, 1:35 - 2:20, Thursday 7th period B, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Tuesday 7th period A, 2:20 - 3:05"
4/12/2024 10:00:00,115273,ls,qh,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Geometry, CS, Algebra 2","Monday 7th period, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Wednesday 6th period A, 1:35 - 2:20, Thursday 7th period B, 3:05 - 3:50, Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,483177,ad,em,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,Biology,"Monday 6th period, 2:15 - 3:00, Tuesday 7th period A, 2:20 - 3:05, Monday after school, 3:55 - 4:30, Thursday after school, 3:50 - 4:30, Wednesday after school B, 3:50 - 4:30, Tuesday after school, 3:50 - 4:30, Wednesday 6th period B, 2:20 - 3:05, Monday 7th period, 3:05 - 3:50, Thursday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,191740,hp,ks,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Econ, Calculus, Algebra 2, Statistics","Wednesday after school A, 3:05 - 3:50, Monday 7th period, 3:05 - 3:50, Tuesday 7th period B, 3:05 - 3:50, Tuesday after school, 3:50 - 4:30, Thursday after school, 3:50 - 4:30"
4/12/2024 10:00:00,398772,gq,mb,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"Algebra 2, History, Lit, Econ","Wednesday 6th period B, 2:20 - 3:05, Thursday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,313172,rf,yq,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Algebra 2, Spanish","Tuesday after school, 3:50 - 4:30, Monday 6th period, 2:15 - 3:00, Wednesday after school B, 3:50 - 4:30, Thursday after school, 3:50 - 4:30, Wednesday after school A, 3:05 - 3:50, Monday after school, 3:55 - 4:30, Wednesday 6th period A, 1:35 - 2:20, Wednesday 6th period B, 2:20 - 3:05, Tuesday 7th period A, 2:20 - 3:05"
4/12/2024 10:00:00,191317,zc,ox,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Physics, Algebra 2, French","Monday after school, 3:55 - 4:30, Wednesday 6th period A, 1:35 - 2:20, Tuesday 7th period B, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Thursday 7th period A, 2:20 - 3:05, Thursday after school, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,453358,hy,ie,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,Spanish,"Thursday after school, 3:50 - 4:30, Wednesday 6th period A, 1:35 - 2:20, Thursday 7th period A, 2:20 - 3:05, Wednesday after school A, 3:05 - 3:50, Thursday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,315135,ic,cc,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Physics, Chinese, Lit","Thursday 7th period B, 3:05 - 3:50, Monday after school, 3:55 - 4:30, Wednesday 6th period B, 2:20 - 3:05"
4/12/2024 10:00:00,136842,op,ll,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Chinese, French, Algebra 2, Pre-Calculus","Monday after school, 3:55 - 4:30, Wednesday after school A, 3:05 - 3:50, Thursday 7th period A, 2:20 - 3:05"
4/12/2024 10:00:00,333199,ou,kz,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,French,"Wednesday after school B, 3:50 - 4:30, Tuesday 7th period A, 2:20 - 3:05"
4/12/2024 10:00:00,233733,pf,gu,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Statistics, Japanese, CS, Calculus","Tuesday 7th period A, 2:20 - 3:05, Monday 6th period, 2:15 - 3:00, Thursday 7th period A, 2:20 - 3:05, Thursday 7th period B, 3:05 - 3:50, Wednesday 6th period A, 1:35 - 2:20, Tuesday after school, 3:50 - 4:30"
4/12/2024 10:00:00,318697,ko,bn,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"CS, Spanish","Tuesday after school, 3:50 - 4:30, Thursday after school, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50, Monday 7th period, 3:05 - 3:50, Thursday 7th period A, 2:20 - 3:05, Tuesday 7th period A, 2:20 - 3:05, Wednesday 6th period A, 1:35 - 2:20"
4/12/2024 10:00:00,127345,wh,ba,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,Pre-Calculus,"Tuesday after school, 3:50 - 4:30, Tuesday 7th period A, 2:20 - 3:05, Wednesday after school A, 3:05 - 3:50, Monday 7th period, 3:05 - 3:50, Monday 6th period, 2:15 - 3:00, Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,460190,vu,qt,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Lit, Chinese","Wednesday after school A, 3:05 - 3:50, Tuesday 7th period A, 2:20 - 3:05, Wednesday 6th period A, 1:35 - 2:20, Tuesday after school, 3:50 - 4:30, Monday after school, 3:55 - 4:30, Thursday 7th period A, 2:20 - 3:05, Thursday after school, 3:50 - 4:30, Wednesday 6th period B, 2:20 - 3:05"
4/12/2024 10:00:00,433856,hu,mx,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Chinese, Biology","Wednesday 6th period A, 1:35 - 2:20, Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,345092,wi,bn,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Biology, Chemistry, Spanish, CS","Wednesday after school B, 3:50 - 4:30, Tuesday after school, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50, Monday 6th period, 2:15 - 3:00, Monday after school, 3:55 - 4:30, Tuesday 7th period A, 2:20 - 3:05, Wednesday 6th period B, 2:20 - 3:05, Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,464037,ha,bh,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"Japanese, Algebra 2","Wednesday after school B, 3:50 - 4:30, Monday after school, 3:55 - 4:30, Monday 6th period, 2:15 - 3:00, Tuesday after school, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,392108,dc,xp,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Geometry, French, Algebra 1, Chemistry","Thursday after school, 3:50 - 4:30, Tuesday after school, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,187224,zb,ba,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,Econ,"Monday after school, 3:55 - 4:30, Wednesday 6th period B, 2:20 - 3:05, Thursday after school, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,293097,ux,uk,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"Biology, Japanese, Econ","Tuesday after school, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50, Thursday after school, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50, Monday 7th period, 3:05 - 3:50, Wednesday after school A, 3:05 - 3:50, Wednesday 6th period B, 2:20 - 3:05, Monday after school, 3:55 - 4:30, Wednesday after school B, 3:50 - 4:30"
4/12/2024 10:00:00,395218,fn,rm,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Pre-Calculus, Calculus, Biology, Japanese","Tuesday 7th period A, 2:20 - 3:05, Monday 7th period, 3:05 - 3:50, Wednesday 6th period B, 2:20 - 3:05"
4/12/2024 10:00:00,575264,mf,op,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Biology, History, Physics","Monday 7th period, 3:05 - 3:50"
4/12/2024 10:00:00,529472,iv,lm,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"History, Physics, Calculus","Tuesday 7th period A, 2:20 - 3:05, Tuesday after school, 3:50 - 4:30, Wednesday after school B, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50, Wednesday 6th period B, 2:20 - 3:05, Thursday after school, 3:50 - 4:30, Monday after school, 3:55 - 4:30, Wednesday after school A, 3:05 - 3:50"
4/12/2024 10:00:00,459298,jc,na,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Japanese, CS","Tuesday 7th period B, 3:05 - 3:50, Tuesday 7th period A, 2:20 - 3:05, Wednesday after school A, 3:05 - 3:50, Monday 6th period, 2:15 - 3:00, Wednesday 6th period B, 2:20 - 3:05"
4/12/2024 10:00:00,364414,jf,hy,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"History, Chemistry, Japanese, Geometry","Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,150927,nb,pz,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,CS,"Thursday after school, 3:50 - 4:30, Wednesday 6th period B, 2:20 - 3:05, Tuesday 7th period A, 2:20 - 3:05, Thursday 7th period B, 3:05 - 3:50, Tuesday after school, 3:50 - 4:30, Wednesday after school B, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50, Monday 7th period, 3:05 - 3:50, Monday 6th period, 2:15 - 3:00"
4/12/2024 10:00:00,452013,gd,yq,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,Biology,"Tuesday 7th period B, 3:05 - 3:50, Tuesday 7th period A, 2:20 - 3:05, Monday after school, 3:55 - 4:30, Wednesday after school B, 3:50 - 4:30, Wednesday 6th period B, 2:20 - 3:05, Thursday 7th period B, 3:05 - 3:50, Thursday after school, 3:50 - 4:30"
4/12/2024 10:00:00,313330,gw,tx,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Chemistry, Algebra 1, Lit, Japanese","Thursday after school, 3:50 - 4:30, Wednesday after school A, 3:05 - 3:50, Monday after school, 3:55 - 4:30, Tuesday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,160440,rr,zc,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,Algebra 2,"Thursday after school, 3:50 - 4:30, Tuesday 7th period A, 2:20 - 3:05, Wednesday after school B, 3:50 - 4:30, Monday after school, 3:55 - 4:30"
4/12/2024 10:00:00,123933,cd,gy,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Chemistry, Calculus, Physics, Statistics","Thursday 7th period B, 3:05 - 3:50, Tuesday 7th period B, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Tuesday after school, 3:50 - 4:30, Monday 6th period, 2:15 - 3:00"
