Timestamp,Student ID,First Name,Last Name,FUHSD Email Address,Parent Guardian Name,Parent Guardian Email,Grade Level,Subjects I Need Help With:,Enter Grade For The First Class Selected,Enter Grade For The Second Class Selected:,Enter Grade For The Third Class Selected,Enter Grade For The Fourth Class Selected,Enter Grade For The Fifth Class Selected,"Mark all days and times you are available for tutoring.  You have a higher chance of being matched with a tutor, if you are more available. The SBS coordinator will determine the days and hours of your tutoring sessions once you are matched with a tutor."
4/12/2024 10:00:00,290277,he,es,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,Geometry,C,,,,,"Wednesday after school A, 3:05 - 3:50, Tuesday 7th period B, 3:05 - 3:50, Monday after school, 3:55 - 4:30, Monday 7th period, 3:05 - 3:50, Thursday after school, 3:50 - 4:30, Wednesday 6th period B, 2:20 - 3:05, Thursday 7th period B, 3:05 - 3:50, Monday 6th period, 2:15 - 3:00"
4/12/2024 10:00:00,329521,is,kr,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Geometry, Biology",A,D,,,,"Thursday after school, 3:50 - 4:30, Tuesday after school, 3:50 - 4:30, Tuesday 7th period A, 2:20 - 3:05, Thursday 7th period A, 2:20 - 3:05, Wednesday after school A, 3:05 - 3:50, Monday after school, 3:55 - 4:30, Monday 7th period, 3:05 - 3:50, Wednesday 6th period B, 2:20 - 3:05"
4/12/2024 10:00:00,478247,hw,je,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"History, Chinese",D,B,,,,"Tuesday 7th period B, 3:05 - 3:50, Thursday 7th period B, 3:05 - 3:50, Tuesday after school, 3:50 - 4:30, Monday 7th period, 3:05 - 3:50"
4/12/2024 10:00:00,209025,yo,kh,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,CS,D,,,,,"Wednesday after school B, 3:50 - 4:30, Monday 6th period, 2:15 - 3:00, Thursday after school, 3:50 - 4:30, Monday after school, 3:55 - 4:30, Monday 7th period, 3:05 - 3:50, Tuesday 7th period B, 3:05 - 3:50, Wednesday 6th period A, 1:35 - 2:20"
4/12/2024 10:00:00,450565,xn,mr,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Physics, Lit, Econ",B,B,A,,,"Thursday 7th period B, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Thursday after school, 3:50 - 4:30, Wednesday 6th period B, 2:20 - 3:05, Monday after school, 3:55 - 4:30, Wednesday after school A, 3:05 - 3:50"
4/12/2024 10:00:00,401907,cs,bb,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,Lit,D,,,,,"Monday 7th period, 3:05 - 3:50, Wednesday after school B, 3:50 - 4:30, Tuesday after school, 3:50 - 4:30, Tuesday 7th period A, 2:20 - 3:05, Tuesday 7th period B, 3:05 - 3:50, Monday 6th period, 2:15 - 3:00, Wednesday 6th period B, 2:20 - 3:05"
4/12/2024 10:00:00,513728,hw,cl,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,Chemistry,A,,,,,"Wednesday after school A, 3:05 - 3:50, Thursday after school, 3:50 - 4:30, Wednesday after school B, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50, Monday after school, 3:55 - 4:30"
4/12/2024 10:00:00,556348,yv,fy,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"French, History, Algebra 1, Chinese",A,C,A,C,,"Thursday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,475155,an,gy,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"CS, Japanese, Geometry, Spanish",D,A,D,B,,"Wednesday after school A, 3:05 - 3:50, Monday 6th period, 2:15 - 3:00"
4/12/2024 10:00:00,273673,os,kn,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Calculus, History",B,B,,,,"Monday 6th period, 2:15 - 3:00, Wednesday 6th period A, 1:35 - 2:20, Wednesday after school B, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,396818,ps,oy,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,History,C,,,,,"Tuesday 7th period A, 2:20 - 3:05, Wednesday after school B, 3:50 - 4:30, Monday 6th period, 2:15 - 3:00, Tuesday 7th period B, 3:05 - 3:50, Tuesday after school, 3:50 - 4:30, Thursday after school, 3:50 - 4:30"
4/12/2024 10:00:00,250290,zd,ks,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"Spanish, Econ",C,D,,,,"Wednesday after school B, 3:50 - 4:30, Monday after school, 3:55 - 4:30, Thursday 7th period B, 3:05 - 3:50, Monday 7th period, 3:05 - 3:50, Tuesday after school, 3:50 - 4:30, Monday 6th period, 2:15 - 3:00"
4/12/2024 10:00:00,254405,vl,pa,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,Chinese,D,,,,,"Monday after school, 3:55 - 4:30, Tuesday after school, 3:50 - 4:30, Wednesday after school B, 3:50 - 4:30, Thursday after school, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50, Wednesday 6th period A, 1:35 - 2:20, Tuesday 7th period A, 2:20 - 3:05, Thursday 7th period A, 2:20 - 3:05, Thursday 7th period B, 3:05 - 3:50"
4/12/2024 10:00:00,578813,hb,ln,asdf@student.fuhsd.org,first last,asdf@gmail.com,12th,"Lit, Econ, Geometry",B,D,B,,,"Wednesday after school A, 3:05 - 3:50"
4/12/2024 10:00:00,260977,xg,gl,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Calculus, CS, History, Algebra 1",D,D,B,D,,"Wednesday 6th period A, 1:35 - 2:20, Tuesday 7th period A, 2:20 - 3:05, Monday after school, 3:55 - 4:30, Monday 6th period, 2:15 - 3:00, Wednesday after school B, 3:50 - 4:30, Monday 7th period, 3:05 - 3:50, Wednesday after school A, 3:05 - 3:50, Thursday after school, 3:50 - 4:30, Tuesday after school, 3:50 - 4:30"
4/12/2024 10:00:00,441465,tp,gc,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Pre-Calculus, Chemistry, Algebra 2",C,B,D,,,"Thursday after school, 3:50 - 4:30, Tuesday 7th period B, 3:05 - 3:50, Monday after school, 3:55 - 4:30, Tuesday after school, 3:50 - 4:30, Wednesday 6th period A, 1:35 - 2:20, Wednesday after school A, 3:05 - 3:50"
4/12/2024 10:00:00,133709,co,ra,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"CS, Chinese, Statistics",C,D,B,,,"Wednesday 6th period A, 1:35 - 2:20, Monday after school, 3:55 - 4:30"
4/12/2024 10:00:00,242539,dz,zb,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Lit, Physics, CS",D,D,B,,,"Tuesday after school, 3:50 - 4:30, Thursday 7th period B, 3:05 - 3:50, Thursday after school, 3:50 - 4:30, Wednesday 6th period B, 2:20 - 3:05, Wednesday 6th period A, 1:35 - 2:20, Monday 7th period, 3:05 - 3:50, Monday after school, 3:55 - 4:30"
4/12/2024 10:00:00,349436,zm,xb,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Lit, Econ",D,A,,,,"Wednesday after school A, 3:05 - 3:50, Thursday 7th period B, 3:05 - 3:50, Wednesday 6th period A, 1:35 - 2:20"
4/12/2024 10:00:00,380614,nl,ke,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Spanish, Biology, French, Econ",C,B,B,C,,"Thursday 7th period B, 3:05 - 3:50, Monday 6th period, 2:15 - 3:00"
4/12/2024 10:00:00,142237,ya,tq,asdf@student.fuhsd.org,first last,asdf@gmail.com,9th,"Biology, French, CS, Algebra 1",D,D,A,B,,"Tuesday 7th period B, 3:05 - 3:50, Thursday after school, 3:50 - 4:30"
4/12/2024 10:00:00,590187,ij,pr,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Pre-Calculus, CS, Japanese, Chemistry",B,B,B,C,,"Monday 7th period, 3:05 - 3:50"
4/12/2024 10:00:00,297060,un,sk,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"CS, Calculus",B,C,,,,"Monday 7th period, 3:05 - 3:50"
4/12/2024 10:00:00,415985,wo,rb,asdf@student.fuhsd.org,first last,asdf@gmail.com,11th,"Lit, Japanese, Physics, Spanish",D,B,C,A,,"Tuesday 7th period A, 2:20 - 3:05, Thursday 7th period B, 3:05 - 3:50, Tuesday 7th period B, 3:05 - 3:50, Wednesday after school A, 3:05 - 3:50, Wednesday 6th period A, 1:35 - 2:20, Tuesday after school, 3:50 - 4:30, Monday 6th period, 2:15 - 3:00, Wednesday 6th period B, 2:20 - 3:05"
4/12/2024 10:00:00,121320,tg,ci,asdf@student.fuhsd.org,first last,asdf@gmail.com,10th,"Spanish, Lit",D,C,,,,"Monday 6th period, 2:15 - 3:00, Monday after school, 3:55 - 4:30, Wednesday 6th period B, 2:20 - 3:05, Thursday 7th period B, 3:05 - 3:50, Monday 7th period, 3:05 - 3:50"
